source_id,start_pos,length,class_label,quality,values
31,38,5,1,0.43262488,"[0.7899900078773499, 0.7954800128936768, 0.8038399815559387, 0.8133900165557861, 0.8192999958992004]"
35,115,5,0,0.4188015,"[-0.4228000044822693, -0.4361500144004822, -0.46825000643730164, -0.5192999839782715, -0.574679970741272]"
