id,length,IG,F_stat,Separability,Composite_Score,Shapelet_Values
121,10,0.709442715164775,4.80445671081543,1.6332542896270752,1.3013411792246046,"-0.4600,-0.4900,-0.4900,-0.4800,-0.4600,-0.4500,-0.4400,-0.4400,-0.4500,-0.4600;0.0900,0.0700,0.0700,0.0900,0.1200,0.1300,0.1200,0.1000,0.0800,0.0500;0.7300,0.7200,0.7500,0.8300,0.8800,0.9200,0.9000,0.8200,0.7400,0.7000;0.9800,0.9900,1.0000,1.0200,1.0400,1.0600,1.0700,1.0700,1.0300,1.0000"
145,10,0.9182958340544894,3.1742289066314697,1.5621330738067627,1.2646371502305924,"-0.0400,-0.0400,-0.0300,-0.0200,-0.0200,-0.0400,-0.0500,-0.0500,-0.0400,-0.0200;0.1200,0.1300,0.1300,0.1100,0.0700,0.0300,0.0300,0.0600,0.0900,0.1200;0.1500,0.1700,0.1600,0.1300,0.0600,0.0400,0.0400,0.0600,0.1000,0.1400;0.1900,0.1800,0.1800,0.1900,0.1800,0.1600,0.1700,0.1700,0.1600,0.1600"
51,10,0.709442715164775,4.074836730957031,1.6149095296859741,1.2555382509228077,"-0.5000,-0.5100,-0.5100,-0.4900,-0.4700,-0.4600,-0.4600,-0.4500,-0.4500,-0.4600;-0.2900,-0.2900,-0.2700,-0.2400,-0.2200,-0.2200,-0.2300,-0.2500,-0.2900,-0.3100;0.1900,0.1900,0.2200,0.2900,0.3400,0.3500,0.3000,0.2200,0.1600,0.1600;0.5400,0.5200,0.5100,0.5200,0.5500,0.5600,0.5600,0.5400,0.5200,0.5200"
180,10,0.9182958340544894,2.7673325538635254,1.5108799934387207,1.218492493344588,"0.0100,0.0100,0.0100,0.0200,0.0200,0.0100,0.0000,0.0100,0.0200,0.0300;0.0400,0.0600,0.0500,0.0400,0.0200,0.0000,-0.0100,-0.0100,0.0000,0.0200;-0.0200,0.0100,0.0000,-0.0500,-0.1100,-0.1400,-0.1500,-0.1200,-0.0700,-0.0500;-0.0500,-0.0400,-0.0500,-0.0500,-0.0700,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000"
122,10,0.7094427151647751,3.45332932472229,1.5961170196533203,1.2107077857527386,"-0.4500,-0.4400,-0.4400,-0.4500,-0.4600,-0.4600,-0.4500,-0.4400,-0.4300,-0.4200;0.1300,0.1200,0.1000,0.0800,0.0500,0.0400,0.0600,0.1000,0.1100,0.1000;0.9200,0.9000,0.8200,0.7400,0.7000,0.7000,0.7500,0.7900,0.8000,0.7800;1.0600,1.0700,1.0700,1.0300,1.0000,0.9900,1.0000,1.0200,1.0200,1.0200"
164,10,0.7094427151647751,3.56527042388916,1.5630638599395752,1.2082395692944834,"0.1300,0.1200,0.1100,0.1000,0.1200,0.1400,0.1500,0.1600,0.1700,0.1600;-0.1200,-0.1400,-0.1500,-0.1500,-0.1300,-0.0900,-0.0800,-0.0800,-0.0900,-0.1100;-0.3900,-0.4400,-0.4500,-0.4500,-0.4200,-0.3600,-0.3100,-0.3000,-0.3200,-0.3800;-0.3500,-0.3600,-0.3700,-0.3600,-0.3400,-0.3300,-0.3200,-0.3100,-0.3100,-0.3200"
60,10,0.7094427151647751,3.3727762699127197,1.5863587856292725,1.2023041545831255,"-0.3900,-0.3800,-0.3800,-0.3800,-0.3800,-0.3900,-0.4000,-0.4000,-0.3800,-0.3700;-0.1900,-0.1700,-0.1600,-0.1800,-0.2100,-0.2300,-0.2400,-0.2400,-0.2000,-0.1600;0.2100,0.2500,0.2600,0.2000,0.1300,0.1000,0.1000,0.1300,0.1800,0.2200;0.4300,0.4400,0.4400,0.4500,0.4200,0.4000,0.3900,0.3800,0.3900,0.4200"
129,10,0.9182958340544894,2.4021267890930176,1.442262887954712,1.1673174286880021,"-0.2500,-0.2500,-0.2700,-0.2800,-0.2600,-0.2400,-0.2200,-0.2100,-0.2100,-0.2100;0.0400,0.0400,0.0400,0.0300,0.0400,0.0600,0.0800,0.0800,0.0500,0.0300;0.4100,0.3400,0.3000,0.2800,0.3200,0.4000,0.4500,0.4500,0.4000,0.3300;0.6200,0.6000,0.5700,0.5600,0.5400,0.5500,0.5500,0.5500,0.5500,0.5300"
193,10,0.7094427151647751,3.0561208724975586,1.4920943975448608,1.1514735253563093,"0.3400,0.3500,0.3500,0.3500,0.3500,0.3500,0.3300,0.3200,0.3300,0.3500;0.0300,0.0500,0.0800,0.0900,0.0900,0.0600,0.0400,0.0200,0.0200,0.0300;-0.4200,-0.3800,-0.3200,-0.2800,-0.2600,-0.3000,-0.3700,-0.4100,-0.4000,-0.3500;-0.5200,-0.5200,-0.5000,-0.4900,-0.4800,-0.4700,-0.4800,-0.4900,-0.5000,-0.5000"
132,10,0.9182958340544894,2.1688053607940674,1.3738960027694702,1.1254935321726696,"-0.1900,-0.1800,-0.1900,-0.1900,-0.1900,-0.2000,-0.1900,-0.1800,-0.1900,-0.2000;0.0900,0.0800,0.0600,0.0300,0.0300,0.0500,0.0700,0.1000,0.1200,0.1100;0.4100,0.3900,0.3100,0.2500,0.2400,0.2600,0.3200,0.3700,0.3800,0.3400;0.5300,0.5300,0.5100,0.4700,0.4600,0.4600,0.4600,0.4900,0.5100,0.5200"
